id,name,latitude,longitude,demand
c01,Central Rambla,41.3782716,2.1761732,3
c02,Amaltea,41.3836428,2.1583028,5
c03,Hanibishi,41.3895184,2.1621769,3
c04,Moncho's House,41.3899967,2.1318367,3
c05,Taller de Tapas,41.3836716,2.1806392,3
c06,El Jardí de l'Abadessa,41.3942273,2.109899,1
c07,Bar Tomás,41.3975532,2.1230797,1
c08,Can Paixano,41.3817618,2.1834151,1
c09,Palacio de China,41.3934539,2.1881434,2
c10,McDonald’s,41.3753906,2.1308538,4
c11,Cal Boter,41.4021663,2.1623411,1
c12,Fenicia,41.3767803,2.1365656,1
c13,Hoja Verde,41.3771427,2.1369905,3
c14,La Maria del Rocxi,41.3770424,2.1368715,3
c15,Simbad - Feteria,41.3769979,2.1368104,1
c16,CaFeniciana,41.3768914,2.1366906,1
c17,El jardi de Sants,41.3769402,2.1367319,3
c18,Calero's,41.3772237,2.1370878,1
c19,Ciutat Comtal,41.3760228,2.1358001,5
c20,Fonda Pepa,41.402044,2.1621698,3
c21,Sabes una Cosa,41.4019328,2.162054,4
c22,La Piazzenza,41.406511,2.1742446,4
c23,Tapes Gaudí,41.408243,2.1745267,3
c24,Aladdin,41.4086056,2.1745607,2
c25,Babilonia,41.4050316,2.1742781,5
c26,Restaurant Buffet,41.3742363,2.1522045,1
c27,Cerveceria Taller de tapas,41.386132,2.174026,2
c28,Antic Tapas Ferran,41.3823086,2.1765833,2
c29,Vila Viniteca,41.3824742,2.1815472,4
c30,Centro Galego,41.3791435,2.1747253,5
c31,Restaurante UN-ZA,41.40537,2.1934837,3
c32,braseria xorus,41.4029,2.1986522,1
c33,La broqueta,41.4027269,2.1989008,4
c34,Tierra da Lua,41.3962523,2.1830333,5
c35,Sukaldari,41.381736,2.1724342,3
c36,Hummus & company,41.3809714,2.173182,3
c37,Kubik Restaurant,41.3796645,2.1743205,2
c38,Genové 1911,41.3812802,2.1728591,1
c39,Bello Italy,41.3812444,2.1728937,1
c40,Egipte,41.3813446,2.1728162,3
c41,cent111onze,41.383726,2.1709656,1
c42,La Poma,41.3843881,2.170482,1
c43,Los Toreros,41.382919,2.170821,2
c44,Organic,41.3832659,2.1701667,4
c45,Bar Lobo,41.3832611,2.170504,3
c46,Sagarra,41.3831077,2.1703808,4
c47,Mar,41.3753694,2.1896344,1
c48,Mei Hua,41.4020177,2.1457393,2
c49,Pizzeria Fontana,41.4034165,2.1477911,1
c50,Aromas de Turquía redtaurant,41.3848666,2.170138,3
