id,name,latitude,longitude,demand
c01,Café Comercial,40.4287093,-3.701972,1
c02,Honest Greens,40.4270276,-3.7016997,4
c03,La Parrilla de Nino,40.4257656,-3.7120898,4
c04,Taj Mahal,40.42514,-3.7118533,2
c05,La Pomarada,40.426008,-3.7115084,5
c06,Sexto,40.4252476,-3.6963836,5
c07,Brasa y Leña,40.4162327,-3.7088498,1
c08,Picado Fino,40.4136118,-3.7087304,3
c09,El Viajero,40.4116487,-3.7101786,4
c10,La Malaje,40.4130702,-3.7117497,4
c11,Tío Timón,40.4131593,-3.7117469,3
c12,Taquería del Alamillo,40.4137154,-3.7127335,5
c13,Casa Ginés,40.485413,-3.6852544,2
c14,Mesón Gallego,40.4857882,-3.6926733,5
c15,Queen Burger Gourmet,40.4855645,-3.6920333,2
c16,tele-bocata,40.4862924,-3.6924531,2
c17,Unnamed,40.4843585,-3.6868649,5
c18,Unnamed,40.4844368,-3.6870451,5
c19,Casa Mouriño,40.485544,-3.6895993,1
c20,Tapería de Fuencarral,40.4849065,-3.68482,3
c21,Taberna la Tortuga,40.4468248,-3.714308,2
c22,Restaurante otavaleño,40.4868023,-3.6892489,1
c23,Restaurante Fereva,40.4854963,-3.6895029,5
c24,Cafetería Filosofía,40.4486523,-3.7297735,4
c25,KungFu Noodle Atocha 武功牛,40.4115676,-3.6978097,5
c26,A Cañada,40.4112109,-3.69567,4
c27,Arrocería Gala,40.412427,-3.6963071,1
c28,El Fogón Verde,40.4122937,-3.6939658,2
c29,Moratin 40,40.4125537,-3.6951865,2
c30,El Rábano,40.4134319,-3.6957085,5
c31,Terra Mundi,40.4136237,-3.6960696,1
c32,Edelweiss,40.4169233,-3.6966322,4
c33,El Secreto de Castilla,40.4171806,-3.6965924,5
c34,Sagardi,40.4173325,-3.6966034,4
c35,Vegetariano,40.416822,-3.6971908,2
c36,Uskar,40.4040925,-3.7009208,4
c37,A Cañada,40.4047549,-3.7014847,1
c38,El Valle,40.4037373,-3.6995978,1
c39,Tia Julia,40.4049362,-3.6986721,5
c40,Ramen Kagura,40.4051914,-3.6973199,1
c41,Mama Teresa Burger,40.4038286,-3.6964406,4
c42,Atocha Tandoori,40.4050712,-3.6952969,3
c43,Arcade,40.4152606,-3.7115508,1
c44,Cruz Blanca,40.4156653,-3.7102121,3
c45,Jiao Jiao,40.4155515,-3.7099687,5
c46,Taste Gallery,40.4153729,-3.7094547,2
c47,Taberneros,40.4163669,-3.7104348,4
c48,Arbonaida,40.4164826,-3.7106873,4
c49,Grazie Mille,40.4161161,-3.7075072,4
c50,Entre suspiro y suspiro,40.4186369,-3.7090308,2
