id,name,latitude,longitude,demand
c01,Pizzeria Maria,37.3881734,-5.9218547,2
c02,Cafetería Rui,37.387228,-5.9217397,3
c03,Unnamed,37.3875844,-5.9199692,5
c04,Unnamed,37.3886379,-5.9210132,2
c05,Unnamed,37.3881693,-5.9206068,5
c06,Cafetería Metrópolis,37.3630589,-5.9858491,3
c07,100 Montaditos,37.3828961,-5.9723331,5
c08,Jaque Mate Tapas,37.382913,-5.9724153,3
c09,Bar San Lorenzo,37.3968705,-5.9967756,3
c10,Cafe Bar El Sardinero,37.3969679,-5.9963185,4
c11,Almeda 5,37.3967979,-5.9945413,3
c12,El 3 de Oro,37.385935,-5.9869065,4
c13,Restaurante Santa Cruz,37.3849733,-5.989891,1
c14,100 Montaditos,37.3913797,-6.0021745,3
c15,Pizztaglio,37.3927949,-5.9973396,4
c16,Mesón Serranito,37.392772,-5.9970991,1
c17,Taberna La Encarnación,37.392526,-5.9913642,1
c18,Mamá Carmen,37.3924124,-5.9905128,2
c19,Taberna El Papelón,37.3843339,-5.9939526,5
c20,Taberna del Alabardero,37.3885745,-5.9981207,2
c21,Casa Aníbal,37.3876976,-6.001594,2
c22,Santa Marta,37.3938755,-5.9937642,1
c23,Bar Zurbarán,37.393757,-5.992737,1
c24,Alcázares,37.3937192,-5.9912688,2
c25,Sloppy Joe's,37.4010654,-5.9268274,3
c26,Yebra,37.4013991,-5.9823247,3
c27,Kaede,37.4030634,-5.9873915,3
c28,La Cigala de Oro,37.3938146,-5.9815256,4
c29,Carlos Alberto,37.3917542,-5.9786712,3
c30,kindo,37.3926213,-5.9804742,2
c31,Pando Centro,37.3912714,-5.9978167,5
c32,Casa Fermín,37.4041452,-5.9895241,5
c33,Casa Manolo Triana,37.3856056,-6.0041413,3
c34,Pomodoro,37.4050602,-5.9359015,2
c35,Los Coloniales,37.3915663,-5.9894907,2
c36,La Mafia,37.3935205,-5.9953776,1
c37,La Mia Tana,37.3907956,-5.9911461,2
c38,Espacio T,37.390868,-5.9908457,4
c39,Unnamed,37.3907444,-5.9909208,5
c40,Unnamed,37.3906421,-5.9908189,4
c41,Taberna Alambique,37.3905646,-5.9908611,3
c42,Alcaiza,37.3900022,-5.9916595,3
c43,Orsini,37.3896632,-5.9910151,5
c44,Universal People,37.3895312,-5.9930039,4
c45,La Alicantina,37.3902183,-5.9929505,1
c46,El Rinconcillo,37.3933406,-5.9882942,5
c47,Casa Catalina,37.3931108,-5.9863994,4
c48,Taberna Los Terceros,37.3936505,-5.9879797,2
c49,Becerrita,37.3904326,-5.984255,3
c50,Unnamed,37.3924497,-5.979126,4
c51,Nickel Burger,37.3966631,-5.9939661,1
c52,La Raza,37.3787279,-5.9895207,3
c53,Unnamed,37.3911321,-6.0040341,3
c54,Hostería del Prado,37.3812829,-5.9864001,1
c55,Restaurante San Marco,37.3779887,-5.9835155,4
c56,Abuela Luna,37.4049084,-6.0066821,3
c57,Belmonte Bar,37.386136,-5.9902287,4
c58,Café Santacruz,37.3852328,-5.9910171,3
c59,La Espuela,37.3885089,-5.9897578,3
c60,La Monda,37.3874557,-5.9913286,1
c61,depiKofino,37.3841836,-5.9786739,1
c62,Club Social Ciudad Blanca,37.4017158,-5.9316884,1
c63,ADC Los Colores,37.4015324,-5.9319148,4
c64,Farol,37.4003541,-5.9922064,2
c65,Café Piola,37.4003428,-5.99323,5
c66,El Badulaque,37.4006326,-5.9934284,2
c67,Mono,37.4009242,-5.9951753,3
c68,Viriato Gastrobar,37.3953691,-5.9915658,4
c69,Il Forno,37.3964006,-5.9945136,1
c70,Karpanta,37.3967324,-5.994288,1
c71,Il Ristorantino dell’Avvocato,37.3942666,-5.9915604,1
c72,Restaurante Altara,37.3865066,-5.9878424,1
c73,Picantón,37.3922476,-5.9935277,4
c74,Los Corales,37.3894486,-5.9934172,5
c75,Restaurante Casa Robles,37.3870952,-5.993143,2
c76,Real Venta Antequera,37.3281214,-5.9678531,4
c77,100 Montaditos,37.3878378,-5.9607653,1
c78,Unnamed,37.3878497,-5.9605283,2
c79,Farina 23,37.3970666,-5.994495,5
c80,Los Barriles,37.3292868,-5.9673377,3
c81,Dos de Mayo,37.3951266,-5.997103,1
c82,El Rayo Verde,37.3965139,-5.9877417,3
c83,El Rincón de Trea,37.3937374,-5.9976084,1
c84,Lobo,37.3821646,-5.9953291,3
c85,Gorki,37.3821219,-5.9950109,3
c86,Toro,37.3821412,-5.995152,2
c87,100 Montaditos,37.3926518,-5.9946892,1
c88,Bendala,37.3855855,-5.9868694,2
c89,Bendala Brasería,37.3854867,-5.9866812,3
c90,Horno las Doncellas,37.3861737,-5.9872201,2
c91,La Malteria,37.4064537,-5.9285702,3
c92,Levies Cafe-Bar,37.3875989,-5.9885597,4
c93,Pomodoro,37.3983537,-5.9943094,2
c94,Milonga's,37.3889619,-5.9811116,4
c95,Bodega Mi Tierra,37.3862452,-5.9498981,2
c96,Unnamed,37.3857635,-5.9513787,1
c97,Bodeguita Hordeum,37.3256859,-5.9670193,3
c98,ConTenedor,37.39842,-5.9879244,3
c99,La Giganta,37.3931743,-5.9884269,5
c100,Don Fadrique Casa Manolo,37.4034353,-5.9894462,3
c101,Restaurante Baco,37.3930047,-5.9872745,2
